Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
69,Exit long,2025-07-03 19:30,Regime Flat,3.0185,41.48,115.986376,9.1,7.84,12.09,10.42,-0.56,-0.48,25.11,25.11,42
69,Entry long,2025-07-02 22:30,Long,2.7962,41.48,115.986376,9.1,7.84,12.09,10.42,-0.56,-0.48,25.11,25.11,42
70,Exit short,2025-07-05 06:30,Regime Flat,2.8854,43.68,125.112624,-1.05,-0.84,1.85,1.47,-1.08,-0.86,24.07,24.07,13
70,Entry short,2025-07-05 00:00,Short,2.8643,43.68,125.112624,-1.05,-0.84,1.85,1.47,-1.08,-0.86,24.07,24.07,13
71,Exit long,2025-07-11 17:00,Regime Flat,3.5062,40.18,124.039678,16.71,13.46,18.6,14.99,-1.27,-1.02,40.77,40.77,68
71,Entry long,2025-07-10 07:00,Long,3.0871,40.18,124.039678,16.71,13.46,18.6,14.99,-1.27,-1.02,40.77,40.77,68
72,Exit long,2025-07-15 01:30,Regime Flat,3.869,37.86,140.76348,5.57,3.96,10.75,7.64,-0.4,-0.29,46.35,46.35,31
72,Entry long,2025-07-14 10:00,Long,3.718,37.86,140.76348,5.57,3.96,10.75,7.64,-0.4,-0.29,46.35,46.35,31
73,Exit short,2025-07-19 13:30,Regime Flat,3.792,38.44,146.333392,0.42,0.29,5.87,4.01,-1.08,-0.74,46.77,46.77,19
73,Entry short,2025-07-19 04:00,Short,3.8068,38.44,146.333392,0.42,0.29,5.87,4.01,-1.08,-0.74,46.77,46.77,19
74,Exit long,2025-07-21 02:00,Regime Flat,3.9056,37.06,146.7576,-2.16,-1.47,2.77,1.89,-2.39,-1.63,44.61,44.61,20
74,Entry long,2025-07-20 16:00,Long,3.96,37.06,146.7576,-2.16,-1.47,2.77,1.89,-2.39,-1.63,44.61,44.61,20
75,Exit short,2025-07-24 08:30,Regime Flat,3.7894,38.89,144.628021,-2.89,-2.00,5.16,3.57,-4.16,-2.87,41.72,41.72,21
75,Entry short,2025-07-23 22:00,Short,3.7189,38.89,144.628021,-2.89,-2.00,5.16,3.57,-4.16,-2.87,41.72,41.72,21
76,Exit long,2025-07-26 20:30,Regime Flat,4.0693,36.04,141.705676,4.81,3.39,5.26,3.71,-0.08,-0.06,46.53,46.53,31
