time,open,high,low,close,Volume
1736175600,5.2744,5.3066,5.2493,5.3,18798458.0511000007
1736177400,5.3,5.3146,5.2604,5.2661,11539233.4461000003
1736179200,5.2662,5.3744,5.2502,5.3411,26790761.1950999983
1736181000,5.3411,5.3411,5.242,5.266,14656137.5377999991
1736182800,5.266,5.2791,5.2411,5.2485,13454870.3973999992
1736184600,5.2485,5.265,5.21,5.224,11798907.5556000005
1736186400,5.224,5.239,5.2122,5.2273,3254312.3209000002
1736188200,5.2274,5.2358,5.178,5.1799,7610687.8946000002
1736190000,5.1797,5.2136,5.1797,5.2064,5093026.9318000004
1736191800,5.2064,5.2126,5.19,5.2035,2445268.8731
1736193600,5.2034,5.231,5.2022,5.2112,5844726.4380999999
1736195400,5.2113,5.2214,5.1631,5.1656,13191350.2409000006
1736197200,5.1652,5.1682,5.0736,5.1077,31774876.9351000004
1736199000,5.1078,5.1307,5.0802,5.095,14582730.4123
1736200800,5.0948,5.1035,5.0541,5.088,12046268.4410999995
1736202600,5.0881,5.1079,5.0671,5.0681,7309865.2741999999
1736204400,5.0681,5.0811,5.005,5.0267,16469216.4034000002
1736206200,5.0267,5.0917,5.0266,5.0886,9333915.0099999998
1736208000,5.0886,5.1081,5.0737,5.0903,8997503.1320999991
1736209800,5.0903,5.0981,5.069,5.075,5720494.1163999997
1736211600,5.075,5.0879,5.0531,5.0721,4666199.9656999996
1736213400,5.0722,5.0918,5.066,5.088,4778476.1183000002
1736215200,5.088,5.0918,5.0669,5.0706,3532126.5491999998
1736217000,5.0708,5.0797,5.0601,5.0655,3415156.4246999999
1736218800,5.0655,5.085,5.0576,5.0748,3614269.1365999999
1736220600,5.0749,5.0937,5.07,5.0755,3507162.9759999998
1736222400,5.0759,5.0817,5.0503,5.065,3860904.8934999998
1736224200,5.065,5.0776,5.0586,5.0606,4153833.8566000001
1736226000,5.0606,5.0754,5.0442,5.057,3891073.1310999999
1736227800,5.057,5.0787,5.0558,5.0776,3513214.7171
1736229600,5.0771,5.0916,5.0632,5.0878,3349151.1734000002
1736231400,5.0878,5.0926,5.0647,5.076,3613392.4372999999
1736233200,5.0759,5.0865,5.0651,5.0708,1275889.7004
1736235000,5.0707,5.0828,5.0556,5.0655,2705740.9194
1736236800,5.0656,5.0746,5.0557,5.0713,5425717.7883000001
1736238600,5.0713,5.1319,5.0705,5.1255,10608024.0750999991
1736240400,5.125,5.135,5.0877,5.1035,4841780.2619000003
1736242200,5.1037,5.1284,5.0937,5.1247,6083136.5159
1736244000,5.1247,5.128,5.1036,5.1198,4456292.1228
1736245800,5.1198,5.1492,5.1133,5.1363,9583087.0678000003
1736247600,5.1361,5.17,5.1281,5.1611,7112900.3030000003
1736249400,5.161,5.1611,5.0785,5.1344,18397313.1592999995
1736251200,5.1344,5.1504,5.0652,5.0701,13146347.5533000007
1736253000,5.0701,5.1127,5.0686,5.0993,4889523.4901999999
1736254800,5.0993,5.1138,5.0827,5.096,4231807.9641000004
1736256600,5.0954,5.1018,5.0693,5.0752,3713434.9855999998
1736258400,5.0752,5.0909,5.0376,5.0724,12353625.6198999994
